Vehicle_No,Make,Type,Total_Cost,Last_Mileage
9,Ford,Maxivan,0,124404
12,Ford,Maxivan,0,85421
13022019,Ford,Maxivan,0,9353
"14 - KC",Ford,Maxivan,0,355938
"16 - AIR LUG",GMC,Maxivan,0,221751
5,Chev,Maxivan,0,164576
"24 - KC",Other,Minivan,0,152252
"52 - Flatbed",Ford,Other,0,83270
"43 - Cargo",Ford,Other,0,29878
8,Chev,Maxivan,0,59137
10,Chev,Maxivan,0,72192
21,Other,Minivan,0,26458
4,Chev,Maxivan,0,76270
7,Chev,Maxivan,0,65551
22,Other,Minivan,0,19188
23,Other,Minivan,0,25674
25,Other,Minivan,0,27729
